"code","Description","Related field","Related subject (faculty directory)","Field Page URL"
"aesthetics","","philosophy","Philosophy",""
"African American studies","","cultural studies","Cultural Studies",""
"agriculture","<p>The college’s organic farm is at the center of agricultural learning on campus, helping you learn to grow food for yourself and others in the broader community, using ecologically informed methods of farming while also learning management and business skills appropriate for small-scale production. You’ll focus on Northwest crop and livestock species—including orchard fruit, potatoes, sheep, and poultry—and be able to study chemistry, microbiology, and anatomy in a highly practical and experiential context.</p>","environmental studies","Environmental Studies/Agriculture",""
"American studies","","history","History",""
"anthropology","<p>As a multidisciplinary study of humans present and past, anthropology finds its way into many programs and courses. You’ll find opportunities to think deeply about contemporary ways of life and to consider pre-modern and non-industrial human experiences. Anthropology faculty offer instruction and guidance in ethnographic fieldwork: approaches to listening, observing, documenting, and reflecting that will enable you to engage meaningfully with people and topics that matter to their communities. You will combine the study of anthropology with history, psychology, sociology, literature, religion, and biology in integrated and relevant ways.</p>","","Social Sciences",""
"architecture","","visual and media arts","Visual Arts",""
"art history","","visual and media arts","Visual Arts",""
"astronomy","","physics","Mathematics and Physics",""
"biochemistry","","chemistry","Chemistry",""
"biology","","biology and life sciences","Biological Sciences",""
"biology and life sciences","<p>Examine life at the cellular level. Find new ways to cure disease. Survey marine organisms in their Puget Sound and Pacific Ocean habitats. Delve into the complex relationship between mathematical models and experimental results. Share your passion for science.</p>","","Biological Sciences","http://www.evergreen.edu/studies/biology"
"botany","","biology and life sciences","Biological Sciences",""
"business and management","","business, management, and entrepreneurship","Business and Economics",""
"business, management, and entrepreneurship","<p>Learn how to create and manage innovative enterprises that bring about social change. Develop leadership skills. Start your own business. Gain a practical foundation in accounting, finance, marketing, and the other disciplines needed to operate in business and the larger world.</p>","","Business and Economics","http://www.evergreen.edu/studies/business"
"chemistry","<p>Discover the world around you at the atomic scale. Unravel the structure of organic compounds. Analyze trace metals in terrestrial and coastal ecosystems. Explore how you can contribute to the field of nanotechnology. </p>","","Chemistry","http://www.evergreen.edu/studies/chemistry"
"classics","<p>In classics, you study ancient Greek and Roman civilizations and the foundational works of European traditions of art, literature, science, and philosophy. You gain an understanding of past cultures and engage with ancient Greeks and Romans in a dialogue on perennial questions. The combination of classics and classical archaeology with other areas of study gives you the opportunity to explore the vitality of ancient works and their importance in modern times. Classical studies are commonly taught in concert with philosophy, political science, history, theatre, anthropology, visual arts, and natural sciences.</p>","history","History",""
"communication","<p>Developing good communication skills is one of the fundamental goals of an Evergreen education. Writing and speaking are emphasized across the curriculum through multiple writing formats, small seminars, collaborative projects, and class presentations. In addition, if you wish to practice media-based communication skills, you have access to state-of-the-art sound recording and television studios, a thriving student-run newspaper, and an on-campus community radio station.</p>","","Literature, Language, and Communication",""
"community studies","<p>Evergreen has a rich legacy of working within communities on issues of treaty rights and sovereignty, economic and social justice, and a host of other issues. Working closely with faculty and various communities, you’ll learn a holistic approach to systemic change at the community level. As you learn to conduct community-based research (also known as participatory research, popular education, and action research), you’ll learn the history, philosophy, and modes of research vital to understanding the needs, challenges, and aims of specific communities.</p>","","Community Field-Based Studies",""
"computer science","<p>Code a compiler or simple operating system. Compete in national cyber-security competitions. Create your own computer games. Build autonomous robots to navigate mazes.</p>","","Mathematics and Physics","http://www.evergreen.edu/studies/computer-science"
"consciousness studies","","psychology","Consciousness Studies",""
"cultural studies","<p>Cultural studies is both its own unique field and an approach that cuts across the humanities and social sciences. You’ll find programs and courses with an emphasis in African American studies, international studies, maritime studies queer studies, and women’s and gender studies.</p>","","Cultural Studies",""
"dance","","performing arts","Performing Arts",""
"ecology","","environmental studies","Environmental Studies/Agriculture",""
"economics","<p>Economics is taught across the curriculum. We apply economic theory to a broad array of issues, including poverty and economic inequality, public policy, alternatives to capitalism, environmental policy, corporate behavior, social equity, unemployment, area studies, and social movements. We emphasize economic history and inequality by race, class, and gender, and focus on multiple schools of economic theory from neoclassical and Keynesian theory to feminist economics and Marxist political economy. You’ll have opportunities to study foundations of economic theory and their implications for economic policy, and the major debates among economists about such issues as the proper role of government and how to best end poverty and other problems.</p>","","Business and Economics",""
"education","<p>Evergreen is a great place to build a foundation for a career in education. You’ll find programs and courses that explore national, state, and local school policies; cover theories about learning and cognitive development; observe and engage in classrooms; and learn strategies for working with second language learners. You will have opportunities to develop your content knowledge in specific teaching areas such as mathematics, English language arts, and the sciences, preparing you for application to a post-baccalaureate teacher certification program. Staff can provide you with guidance as you navigate the curriculum on your way to a successful and fulfilling teaching career.</p>","","Social Sciences",""
"environmental studies","<p>Raft down the Grand Canyon. Shape environmental legislation. Climb the slopes of Mount Rainier. Collect algae in the Puget Sound. Survey the giant forests of the Pacific Northwest.</p>","","Environmental Studies/Agriculture","http://www.evergreen.edu/studies/environmental-studies"
"field studies","<p>Evergreen provides many opportunities for in-depth learning through fieldwork. In social sciences such as psychology, sociology, or anthropology, you can learn to be a participant observer in the process of conducting ethnographic interviews. In the sciences, through extended time in the field you can learn to conduct field science in ecology at the advanced undergraduate level. Trips to local and remote locations provide the backdrop for independent and group research projects in a number of environmental studies fields.</p>","environmental studies","Community Field-Based Studies",""
"gender and women's studies","","cultural studies","Cultural Studies",""
"geography","<p>Learning geography typically focuses on interconnections—between human beings and the natural environment, past and present, domestic and foreign realms, and rural and urban areas—all at the different scales of our existence (from local to regional, national, and global). In geography-rich interdisciplinary programs, you'll learn about local places and the larger world humans inhabit, how they define their homelands, how they engage in conflict and cooperation with each other, and how they migrate. You’ll have opportunities to study scholarly and imaginative works, develop skills in writing and research, and conduct policy research, fieldwork, and mapping.</p>","","Social Sciences",""
"geology","<p>Geology integrates a range of scientific disciplines to gain a comprehensive understanding of the Earth, the relationships between rocks, water, chemistry, biology, and the environment, in the context of a changing world. It is usually embedded in team-taught interdisciplinary programs that incorporate other science disciplines, as well as social sciences and arts. You can study geology at all levels; foundational physical geology is taught in lower levels; advanced study typically focuses on geochemistry and hydrogeology. Applied learning is emphasized, through field trips, field and lab observation, geographic information systems (GIS), and research projects. You’ll develop quantitative reasoning, scientific literacy, and data analysis skills that prepare you to answer real-world questions.</p>","environmental studies","Environmental Studies/Agriculture",""
"government","","political economy and political science","Politics and Government",""
"health","","biology and life sciences","Biological Sciences",""
"history","<p>How do we understand, assess, and learn from history? Our interdisciplinary programs emphasize critical reading, writing, and research skills to assist students in examining history from a variety of perspectives. Students learn from and challenge the assumptions about history.</p>","","History","http://evergreen.edu/studies/history"
"hydrology","","environmental studies","Environmental Studies/Agriculture",""
"international studies","","cultural studies","Cultural Studies",""
"language studies","<p>You can begin or continue foreign language studies in an array of courses and programs. Our regular offerings include Spanish, French, Russian, German, Japanese, American Sign Language, and Chinese. In addition, Arabic, Basque, Irish Gaelic, Latin, and ancient Greek are taught from time to time. In full-time programs, both stateside and abroad, you can learn foreign languages through immersion in the cultures of the peoples who speak them. Common destinations include Argentina, Costa Rica, Japan, China, France, Italy, Greece, Turkey, and Egypt. In addition to foreign languages, Evergreen offers frequent opportunities in linguistics.</p>","","Literature, Language, and Communication",""
"law and government policy","","political economy and political science","Politics and Government",""
"law and public policy","","political economy and political science","Politics and Government",""
"leadership studies","","business, management, and entrepreneurship","Business and Economics",""
"linguistics","","language studies","Literature, Language, and Communication",""
